"","y","t","s","i"
"195",1597000,2059834.13689875,0.777937822579351,0.996615822626594
"196",1640000,2087538.74134803,0.782991354261039,1.00334972828636
"197",1672000,2113276.21167588,0.788636455126355,1.00323612038957
"198",1728000,2135177.21163084,0.807427477864228,1.00231974916151
"199",1758000,2152328.11930685,0.811340968474589,1.0067160324471
"200",1773000,2166646.80163176,0.824464150669937,0.992541876301016
"201",1854000,2183578.75432799,0.849482608827018,0.999508237244864
"202",2007000,2198128.20348461,0.899334625361709,1.01525009633791
"203",1980000,2202454.52328662,0.898431540766807,1.00062938034765
"204",2186000,2199475.42182896,0.989008374731645,1.00491904096086
"205",2214000,2191078.23758738,1.00524666718278,1.00518752320374
"206",2223000,2179330.78154275,1.02596942754195,0.994218614614374
"207",2254000,2168455.8894925,1.03636096037521,1.00298000396712
"208",2446000,2158313.73510122,1.13688409162215,0.996840533063822
"209",2757000,2150570.99262309,1.28824099564156,0.99514385801733
"210",2829000,2146766.52963487,1.31805187154173,0.999805749294243
"211",2798000,2145178.21082992,1.30756411387014,0.997519376015514
"212",2794000,2145312.0597223,1.30371534712265,0.998971618251881
"213",2781000,2147052.39493907,1.29691481493054,0.99872723892355
"214",2761000,2148094.9134431,1.27892256968076,1.00500607815058
"215",2744000,2150058.37061555,1.29211238612222,0.987719361426562
"216",2782000,2155696.49587989,1.28090082359872,1.00752076336835
"217",2717000,2162051.68505555,1.26369793363494,0.994443907314399
"218",2703000,2168028.36887459,1.24162662702341,1.00413028885542
"219",2634000,2172569.77030179,1.21110789678388,1.00105791184585
"220",2561000,2174929.57239597,1.17777767795925,0.999772210676069
"221",2505000,2174836.90909212,1.14466112620637,1.00624584809623
"222",2406000,2172509.32436414,1.11420788109655,0.993957346267842
"223",2374000,2170592.53667235,1.08946395160414,1.00389789694706
"224",2323000,2166084.15219388,1.06645202911987,1.00561689231468
"225",2226000,2158081.37305116,1.03652920827737,0.995120789151726
"226",2144000,2152509.73091127,1.00005442170615,0.995992396937234
"227",2077000,2152486.78939281,0.969829815084747,0.994948199702363
"228",2030000,2157124.58824394,0.942073396310031,0.998932329805253
"229",1989000,2163468.43689741,0.918201236508622,1.00125880038294
"230",1918000,2169429.21232461,0.884880197085172,0.999122278442079
"231",1947000,2173245.93338485,0.890091918900576,1.00651955699657
"232",1902000,2171957.26350224,0.87307750301836,1.00301271682279
"233",1883000,2165222.7147466,0.866440495145664,1.00371173935614
"234",1870000,2152583.03351206,0.862307599755197,1.00744067191646
"235",1846000,2135856.8424071,0.869554863619591,0.993945490769423
"236",2006000,2121753.81374153,0.949014658456317,0.996237801424398
"237",1979000,2115274.492066,0.945866514287624,0.989120518737843
"238",1997000,2119071.08448943,0.949519097806555,0.992496160356528
"239",2020000,2131480.51322995,0.949368667107935,0.998240322862093
"240",2015000,2145681.38786855,0.934328302359286,1.00510240439037
"241",1985000,2154823.8287718,0.914721058463308,1.00707094016669
"242",1895000,2157574.49856117,0.878111507621271,1.0002158800336
"243",1817000,2158619.98643632,0.844087331662133,0.997220852329023
"244",1756000,2161265.49433727,0.812698256022355,0.999739989063307
"245",1801000,2163532.95232511,0.829233525514485,1.00386045517365
"246",1733000,2162179.09630949,0.798963141933521,1.00318297621852
"247",1713000,2156198.20061568,0.791618369482067,1.00358190053307
"248",1690000,2147011.01710778,0.787822159707431,0.999135153153336
"249",1692000,2136771.07597603,0.791070383105686,1.0009842339668
"250",1724000,2125727.27415217,0.810199110214997,1.00100893689339
"251",1693000,2115886.4902226,0.80592710423045,0.992816144322293
"252",1746000,2108996.13190492,0.824912242738508,1.0036001257545
"253",1787000,2098571.55299485,0.842316446754444,1.01094025532809
"254",1828000,2082426.40062552,0.884207476707963,0.99277846372945
"255",1814000,2069659.88298893,0.883027584473179,0.992576595671213
"256",2015000,2063757.66803667,0.976823931576076,0.99953972609686
"257",2053000,2059272.40364528,0.993617775753409,1.00335772207259
"258",2110000,2051584.73512688,1.02452917289752,1.00384963886682
"259",2147000,2039732.16086332,1.05011327229937,1.0023577518187
"260",2245000,2022451.0950948,1.09975821866202,1.00934840348237
"261",2485000,1999774.846183,1.24601941489832,0.997287745097936
"262",2529000,1979173.33242284,1.29114135825592,0.989671823786442
"263",2527000,1967503.3596711,1.29296796621921,0.993349309256754
"264",2516000,1963853.35469638,1.28605206007524,0.996191960279183
"265",2529000,1964027.78938216,1.28641556893297,1.00096735403768
"266",2506000,1964454.49126084,1.27469763284726,1.00076455469074
"267",2551000,1960625.29726502,1.28581177426704,1.01190200968709
"268",2470000,1951909.53152376,1.27538459301297,0.992192870821424
"269",2474000,1944233.46410006,1.27230321062249,1.00013968061465
"270",2413000,1938858.8842242,1.24523549805041,0.999446676747823
"271",2360000,1933818.20374761,1.22082537986225,0.999638121246346
"272",2298000,1928777.06612279,1.19010430380171,1.00111268694738
"273",2203000,1925061.71360657,1.15202197931584,0.993365506364159
"274",2176000,1923096.52133823,1.12485347297364,1.00591632238886
"275",2116000,1918377.04882173,1.09826775953458,1.00432311586819
"276",2048000,1909002.19758891,1.07098788964138,1.00170297586734
"277",1966000,1899195.55129491,1.04161903209337,0.993813570290027
"278",1890000,1892698.11839952,0.99961817327887,0.998955887309691
"279",1836000,1887815.89138353,0.970158562367817,1.00246753831064
"280",1770000,1882384.58551354,0.942200670732353,0.997979222357708
"281",1731000,1877288.01979946,0.921798399839743,1.00029986309922
"282",1664000,1872464.10168589,0.888346639930124,1.0003623950963
"283",1673000,1867664.41184155,0.896839353311082,0.998808985533271
"284",1637000,1863878.00538026,0.87978033974796,0.998290511524414
"285",1619000,1863726.65415925,0.876198371809189,0.991430306824136
"286",1633000,1869383.88946434,0.875413058309339,0.997871613956358
"287",1645000,1877963.40114991,0.873924713720807,1.00231621713343
"288",1834000,1883872.39323768,0.966730011233038,1.00703055595739
"289",1848000,1883404.95735182,0.975049889309304,1.00630914718854
"290",1835000,1873746.00028134,0.966536117249044,1.01322818611661
"291",1796000,1852325.69345693,0.959934455007678,1.01006053194098
"292",1705000,1823463.25982041,0.939711118674749,0.995022727291278
"293",1633000,1798157.42826526,0.918860597588426,0.988345626296904
"294",1554000,1782742.42182613,0.878391380910486,0.992371652131522
"295",1500000,1774639.79085757,0.845410803593312,0.999800272182348
"296",1433000,1768074.99945673,0.808547684359809,1.00239725683193
"297",1447000,1760535.61528245,0.822493544367203,0.999289255966472
"298",1388000,1752925.40380166,0.792215402070966,0.999499887501858
"299",1369000,1744991.11869974,0.78204080373359,1.00318450119999
"300",1340000,1736084.6867157,0.773277638819251,0.998156042847032
"301",1330000,1727667.78941292,0.770663776658066,0.998910224015287
"302",1366000,1719979.88136774,0.793021314691003,1.00148044127121
"303",1342000,1712437.5049743,0.785360507371275,0.997857960586406
"304",1383000,1704616.5431672,0.807912317596974,1.00422551527531
"305",1377000,1696913.7091136,0.81670031544001,0.993599715949893
"306",1457000,1690783.29803076,0.859392891798952,1.00272038812298
"307",1445000,1685918.37325404,0.860319962534803,0.996256810402735
"308",1620000,1679340.05356932,0.953219930885342,1.0120063877605
"309",1607000,1670624.33860627,0.972715807767027,0.988897089993927
"310",1678000,1665587.02388588,1.01151359837796,0.995985239400302
"311",1789000,1660808.44269445,1.05743372597075,1.0186796700072
"312",1759000,1649937.95577693,1.07450276645697,0.99218050202688
"313",2026000,1637616.25421802,1.23251285441749,1.00377377133271
"314",2121000,1628207.06441122,1.31705502909855,0.989070190355347
